time,RSSI
5,93
511,93
1015,93
1520,93
2025,93
2530,93
3034,93
3540,93
4045,93
4550,93
5055,94
time,RSSI
4,94
509,94
1014,94
1519,94
2024,97
2530,97
3035,97
3540,97
4045,98
4550,98
5056,98
time,RSSI
3,93
508,93
1013,93
1517,93
2023,93
2527,93
3032,93
3537,93
time,RSSI
3,92
508,92
1013,93
1518,93
2024,93
2529,93
3034,96
3538,96
time,RSSI
4,96
511,93
1016,93
1521,93
2027,93
2534,95
time,RSSI
3,94
107,94
212,94
317,94
425,94
530,94
638,94
743,94
848,94
953,94
1059,94
1164,94
1270,94
1375,94
1480,94
1585,94
1690,94
1795,95
1901,95
2006,95
2111,95
2216,95
2321,95
2429,95
2534,95
2640,95
2746,95
2851,95
2956,95
3061,95
3166,95
3272,95
3377,95
3483,95
3589,95
3693,95
3799,95
3904,95
4009,95
4115,95
4222,95
4327,95
4433,95
4538,95
4643,95
4748,95
4854,95
4960,95
5065,95
5170,95
5277,95
5383,95
5488,95
5594,95
5699,95
5805,95
5911,95
6017,95
6122,95
6227,95
6333,95
6439,95
6544,95
6649,95
6754,95
6859,95
6965,95
7070,95
7176,95
7281,95
7386,95
7492,95
7597,95
7701,95
7806,94
7912,94
8017,94
8121,94
8226,94
8333,94
8440,94
8545,94
8650,94
8755,94
8860,94
8965,94
9070,94
9175,94
9281,94
9386,94
9491,94
9596,94
9701,94
9808,83
9914,83
10018,83
10123,83
10229,83
10335,83
10443,83
time,RSSI
3,91
209,91
414,91
619,91
824,91
1029,91
1234,91
1440,91
1645,91
1851,90
2056,90
2260,90
2466,90
2671,90
2876,90
3081,90
3286,90
3492,90
3699,90
3903,90
4108,90
4314,90
4519,90
4725,90
4930,90
5134,90
5340,90
5545,90
5750,90
5955,90
6160,90
6365,90
6570,90
6775,90
6980,90
7186,90
7392,90
7597,90
7801,90
8006,90
8211,90
8416,90
8621,90
8826,90
9032,90
9237,90
9442,90
9647,90
9852,90
10057,90
10263,90
10468,90
10674,90
10879,90
11084,90
11288,90
11495,90
11700,90
11905,90
12110,90
12315,90
12521,90
12725,90
12930,90
13136,90
13341,90
13547,90
13752,90
13958,90
14163,90
14369,90
14573,90
14779,90
14984,90
15189,90
15394,90
15599,90
15804,90
16009,90
16214,90
16420,90
16624,90
16829,90
17034,90
17239,90
17444,90
17648,90
17853,90
18058,92
18263,92
18469,92
18675,92
18880,92
19085,92
19290,92
19495,92
19699,92
19905,92
20109,92
20315,92
time,RSSI
4,94
214,94
420,94
626,94
832,94
1037,94
1246,94
1451,94
1657,94
1862,94
2067,94
2272,94
2478,94
2683,94
2888,94
3092,94
3298,94
3502,94
3709,94
3914,94
4119,94
4324,94
4529,94
4736,94
4941,94
5146,94
5351,94
5557,94
5761,94
5967,94
6173,94
6377,94
6583,94
6788,94
6993,94
7198,94
7403,94
7608,94
7814,94
8019,94
8225,94
8430,94
8636,94
8842,94
9047,94
9252,94
9458,94
9663,94
9868,94
10074,94
10279,94
10486,94
10691,94
10897,94
11102,94
11307,94
11513,94
11718,94
11923,94
12128,94
12333,94
12538,94
12744,94
12949,94
13154,94
13359,94
13564,94
13770,94
13975,94
14180,94
14386,94
14591,94
14797,94
15002,94
15206,94
15412,94
15617,94
15822,94
16028,94
16234,94
16439,94
16643,94
16848,94
17053,94
17258,94
17463,94
17668,94
17873,94
18078,94
18283,94
18488,94
18693,94
18898,94
19103,94
19308,94
19513,94
19717,94
19923,94
20129,94
20334,94
time,RSSI
4,94
309,94
614,94
919,94
1225,94
1529,94
1834,94
2141,94
2448,94
2753,94
3058,94
3364,94
3669,94
3974,94
4280,94
4585,94
4890,94
5195,94
5500,94
5805,94
6110,94
6417,95
6722,95
7027,95
7332,95
7637,95
7942,95
8248,95
8553,95
8858,95
9164,95
9469,95
9774,95
10079,95
10384,95
10691,95
10996,95
11301,95
11606,95
11911,95
12216,95
12521,95
12827,95
13134,95
13442,95
13747,95
14053,95
14358,95
14663,95
14968,95
15274,95
15579,95
